survived,pclass,age,sibsp,parch,fare,who,adult_male,deck,embark_town,alive,alone,sex_male,embarked_Q,embarked_S,class_Second,class_Third
1,1,63.0,1,0,77.9583,woman,False,D,Southampton,yes,False,False,False,True,False,False
1,1,19.0,1,0,91.0792,woman,False,B,Cherbourg,yes,False,False,False,False,False,False
0,2,36.0,0,0,12.875,man,True,D,Cherbourg,no,True,True,False,False,True,False
0,1,2.0,1,2,151.55,child,False,C,Southampton,no,False,False,False,True,False,False
1,1,50.0,0,1,247.5208,woman,False,B,Cherbourg,yes,False,False,False,False,False,False
1,1,0.92,1,2,151.55,child,False,C,Southampton,yes,False,True,False,True,False,False
1,1,17.0,1,0,108.9,woman,False,C,Cherbourg,yes,False,False,False,False,False,False
1,1,30.0,0,0,56.9292,woman,False,E,Cherbourg,yes,True,False,False,False,False,False
1,1,24.0,0,0,83.1583,woman,False,C,Cherbourg,yes,True,False,False,False,False,False
1,1,18.0,2,2,262.375,woman,False,B,Cherbourg,yes,False,False,False,False,False,False
1,1,31.0,0,2,164.8667,woman,False,C,Southampton,yes,False,False,False,True,False,False
1,1,40.0,1,1,134.5,woman,False,E,Cherbourg,yes,False,False,False,False,False,False
1,1,36.0,0,0,135.6333,woman,False,C,Cherbourg,yes,True,False,False,False,False,False
1,2,36.0,0,0,13.0,woman,False,D,Southampton,yes,True,False,False,True,True,False
1,1,16.0,0,1,57.9792,woman,False,B,Cherbourg,yes,False,False,False,False,False,False
0,1,45.5,0,0,28.5,man,True,C,Southampton,no,True,True,False,True,False,False
0,1,38.0,0,1,153.4625,man,True,C,Southampton,no,False,True,False,True,False,False
0,1,29.0,1,0,66.6,man,True,C,Southampton,no,False,True,False,True,False,False
1,1,41.0,0,0,134.5,woman,False,E,Cherbourg,yes,True,False,False,False,False,False
1,2,2.0,1,1,26.0,child,False,F,Southampton,yes,False,True,False,True,True,False
1,1,24.0,3,2,263.0,woman,False,C,Southampton,yes,False,False,False,True,False,False
1,2,24.0,0,0,13.0,woman,False,F,Southampton,yes,True,False,False,True,True,False
1,1,22.0,0,1,55.0,woman,False,E,Southampton,yes,False,False,False,True,False,False
1,1,60.0,1,0,75.25,woman,False,D,Cherbourg,yes,False,False,False,False,False,False
1,1,24.0,0,0,69.3,woman,False,B,Cherbourg,yes,True,False,False,False,False,False
1,1,25.0,1,0,55.4417,man,True,E,Cherbourg,yes,False,True,False,False,False,False
0,1,27.0,0,2,211.5,man,True,C,Cherbourg,no,False,True,False,False,False,False
1,1,36.0,1,2,120.0,man,True,B,Southampton,yes,False,True,False,True,False,False
1,1,23.0,1,0,113.275,woman,False,D,Cherbourg,yes,False,False,False,False,False,False
1,3,24.0,0,2,16.7,woman,False,G,Southampton,yes,False,False,False,True,False,True
1,1,33.0,1,0,90.0,woman,False,C,Queenstown,yes,False,False,True,False,False,False
1,3,32.0,0,0,8.05,man,True,E,Southampton,yes,True,True,False,True,False,True
1,1,28.0,0,0,26.55,man,True,C,Southampton,yes,True,True,False,True,False,False
0,1,50.0,1,0,55.9,man,True,E,Southampton,no,False,True,False,True,False,False
1,1,14.0,1,2,120.0,child,False,B,Southampton,yes,False,False,False,True,False,False
0,1,64.0,1,4,263.0,man,True,C,Southampton,no,False,True,False,True,False,False
1,1,4.0,0,2,81.8583,child,False,A,Southampton,yes,False,True,False,True,False,False
1,1,52.0,0,0,30.5,man,True,C,Southampton,yes,True,True,False,True,False,False
0,1,30.0,0,0,27.75,man,True,C,Cherbourg,no,True,True,False,False,False,False
1,1,49.0,1,0,89.1042,man,True,C,Cherbourg,yes,False,True,False,False,False,False
0,1,65.0,0,0,26.55,man,True,E,Southampton,no,True,True,False,True,False,False
1,1,48.0,0,0,26.55,man,True,E,Southampton,yes,True,True,False,True,False,False
0,1,47.0,0,0,38.5,man,True,E,Southampton,no,True,True,False,True,False,False
1,2,23.0,0,0,13.7917,woman,False,D,Cherbourg,yes,True,False,False,False,True,False
1,1,25.0,1,0,91.0792,man,True,B,Cherbourg,yes,False,True,False,False,False,False
1,1,35.0,1,0,90.0,woman,False,C,Southampton,yes,False,False,False,True,False,False
0,1,58.0,0,0,29.7,man,True,B,Cherbourg,no,True,True,False,False,False,False
0,1,55.0,0,0,30.5,man,True,C,Southampton,no,True,True,False,True,False,False
1,1,54.0,1,0,78.2667,woman,False,D,Cherbourg,yes,False,False,False,False,False,False
0,1,25.0,1,2,151.55,woman,False,C,Southampton,no,False,False,False,True,False,False
1,1,16.0,0,0,86.5,woman,False,B,Southampton,yes,True,False,False,True,False,False
0,1,18.0,1,0,108.9,man,True,C,Cherbourg,no,False,True,False,False,False,False
1,1,36.0,0,0,26.2875,man,True,E,Southampton,yes,True,True,False,True,False,False
0,1,47.0,0,0,34.0208,man,True,D,Southampton,no,True,True,False,True,False,False
1,2,34.0,0,0,10.5,woman,False,F,Southampton,yes,True,False,False,True,True,False
1,1,30.0,0,0,93.5,woman,False,B,Southampton,yes,True,False,False,True,False,False
1,1,44.0,0,1,57.9792,woman,False,B,Cherbourg,yes,False,False,False,False,False,False
0,1,45.0,0,0,26.55,man,True,B,Southampton,no,True,True,False,True,False,False
1,1,22.0,0,2,49.5,woman,False,B,Cherbourg,yes,False,False,False,False,False,False
1,1,36.0,0,2,71.0,woman,False,B,Southampton,yes,False,False,False,True,False,False
0,1,50.0,1,0,106.425,man,True,C,Cherbourg,no,False,True,False,False,False,False
1,1,17.0,0,2,110.8833,man,True,C,Cherbourg,yes,False,True,False,False,False,False
1,1,48.0,1,0,39.6,woman,False,A,Cherbourg,yes,False,False,False,False,False,False
1,1,39.0,1,1,79.65,woman,False,E,Southampton,yes,False,False,False,True,False,False
1,1,53.0,2,0,51.4792,woman,False,C,Southampton,yes,False,False,False,True,False,False
1,1,36.0,0,0,26.3875,man,True,E,Southampton,yes,True,True,False,True,False,False
1,1,39.0,1,0,55.9,woman,False,E,Southampton,yes,False,False,False,True,False,False
1,1,39.0,1,1,110.8833,woman,False,C,Cherbourg,yes,False,False,False,False,False,False
0,1,36.0,0,0,40.125,man,True,A,Cherbourg,no,True,True,False,False,False,False
1,1,18.0,0,2,79.65,woman,False,E,Southampton,yes,False,False,False,True,False,False
1,1,60.0,1,1,79.2,man,True,B,Cherbourg,yes,False,True,False,False,False,False
1,1,52.0,1,0,78.2667,woman,False,D,Cherbourg,yes,False,False,False,False,False,False
1,1,49.0,1,0,56.9292,man,True,A,Cherbourg,yes,False,True,False,False,False,False
1,1,40.0,0,0,153.4625,woman,False,C,Southampton,yes,True,False,False,True,False,False
1,2,4.0,2,1,39.0,child,False,F,Southampton,yes,False,False,False,True,True,False
1,1,42.0,1,0,52.5542,man,True,D,Southampton,yes,False,True,False,True,False,False
0,1,61.0,0,0,32.3208,man,True,D,Southampton,no,True,True,False,True,False,False
1,1,21.0,0,0,77.9583,woman,False,D,Southampton,yes,True,False,False,True,False,False
1,1,80.0,0,0,30.0,man,True,A,Southampton,yes,True,True,False,True,False,False
1,1,32.0,0,0,30.5,man,True,B,Cherbourg,yes,True,True,False,False,False,False
1,1,24.0,0,0,69.3,woman,False,B,Cherbourg,yes,True,False,False,False,False,False
1,1,48.0,1,0,76.7292,man,True,D,Cherbourg,yes,False,True,False,False,False,False
1,1,56.0,0,0,35.5,man,True,A,Cherbourg,yes,True,True,False,False,False,False
0,1,58.0,0,2,113.275,man,True,D,Cherbourg,no,False,True,False,False,False,False
0,1,47.0,0,0,25.5875,man,True,E,Southampton,no,True,True,False,True,False,False
0,1,31.0,1,0,52.0,man,True,B,Southampton,no,False,True,False,True,False,False
1,1,36.0,0,1,512.3292,man,True,B,Cherbourg,yes,False,True,False,False,False,False
1,1,27.0,0,0,76.7292,man,True,D,Cherbourg,yes,True,True,False,False,False,False
1,1,15.0,0,1,211.3375,child,False,B,Southampton,yes,False,False,False,True,False,False
1,1,31.0,1,0,57.0,man,True,B,Southampton,yes,False,True,False,True,False,False
0,1,49.0,1,1,110.8833,man,True,C,Cherbourg,no,False,True,False,False,False,False
0,3,42.0,0,0,7.65,man,True,F,Southampton,no,True,True,False,True,False,True
1,1,18.0,1,0,227.525,woman,False,C,Cherbourg,yes,False,False,False,False,False,False
1,1,35.0,0,0,26.2875,man,True,E,Southampton,yes,True,True,False,True,False,False
1,1,42.0,0,0,26.2875,man,True,E,Southampton,yes,True,True,False,True,False,False
1,1,24.0,0,0,49.5042,woman,False,C,Cherbourg,yes,True,False,False,False,False,False
1,1,48.0,1,0,52.0,man,True,C,Southampton,yes,False,True,False,True,False,False
0,3,19.0,0,0,7.65,man,True,F,Southampton,no,True,True,False,True,False,True
1,1,38.0,0,0,227.525,woman,False,C,Cherbourg,yes,True,False,False,False,False,False
1,2,27.0,0,0,10.5,woman,False,E,Southampton,yes,True,False,False,True,True,False
1,1,27.0,1,0,53.1,man,True,E,Southampton,yes,False,True,False,True,False,False
1,1,29.0,0,0,211.3375,woman,False,B,Southampton,yes,True,False,False,True,False,False
1,1,35.0,0,0,512.3292,man,True,B,Cherbourg,yes,True,True,False,False,False,False
0,1,36.0,1,0,78.85,man,True,C,Southampton,no,False,True,False,True,False,False
1,1,21.0,2,2,262.375,woman,False,B,Cherbourg,yes,False,False,False,False,False,False
0,1,70.0,1,1,71.0,man,True,B,Southampton,no,False,True,False,True,False,False
0,1,19.0,1,0,53.1,man,True,D,Southampton,no,False,True,False,True,False,False
1,3,6.0,0,1,12.475,child,False,E,Southampton,yes,False,True,False,True,False,True
1,1,33.0,0,0,86.5,woman,False,B,Southampton,yes,True,False,False,True,False,False
1,1,36.0,1,2,120.0,woman,False,B,Southampton,yes,False,False,False,True,False,False
1,1,51.0,1,0,77.9583,woman,False,D,Southampton,yes,False,False,False,True,False,False
0,2,57.0,0,0,10.5,woman,False,E,Southampton,no,True,False,False,True,True,False
1,1,43.0,0,1,211.3375,woman,False,B,Southampton,yes,False,False,False,True,False,False
1,1,17.0,1,0,57.0,woman,False,B,Southampton,yes,False,False,False,True,False,False
0,1,29.0,0,0,30.0,man,True,D,Southampton,no,True,True,False,True,False,False
0,1,46.0,0,0,79.2,man,True,B,Cherbourg,no,True,True,False,False,False,False
1,1,49.0,0,0,25.9292,woman,False,D,Southampton,yes,True,False,False,True,False,False
1,1,11.0,1,2,120.0,child,False,B,Southampton,yes,False,True,False,True,False,False
0,1,39.0,0,0,0.0,man,True,A,Southampton,no,True,True,False,True,False,False
1,1,33.0,1,0,53.1,woman,False,E,Southampton,yes,False,False,False,True,False,False
1,1,52.0,1,1,93.5,woman,False,B,Southampton,yes,False,False,False,True,False,False
1,3,27.0,0,1,12.475,woman,False,E,Southampton,yes,False,False,False,True,False,True
1,1,39.0,1,1,83.1583,woman,False,E,Cherbourg,yes,False,False,False,False,False,False
1,1,16.0,0,1,39.4,woman,False,D,Southampton,yes,False,False,False,True,False,False
1,1,51.0,0,0,26.55,man,True,E,Southampton,yes,True,True,False,True,False,False
1,1,48.0,0,0,25.9292,woman,False,D,Southampton,yes,True,False,False,True,False,False
0,1,31.0,0,0,50.4958,man,True,A,Southampton,no,True,True,False,True,False,False
1,1,47.0,1,1,52.5542,woman,False,D,Southampton,yes,False,False,False,True,False,False
0,1,33.0,0,0,5.0,man,True,B,Southampton,no,True,True,False,True,False,False
1,1,56.0,0,1,83.1583,woman,False,C,Cherbourg,yes,False,False,False,False,False,False
1,1,19.0,0,0,30.0,woman,False,B,Southampton,yes,True,False,False,True,False,False
1,1,26.0,0,0,30.0,man,True,C,Cherbourg,yes,True,True,False,False,False,False
